Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,365,0,1,4,1
01, 1,5,44,0,0,0
01, 1,0,1,4,0,0
01, 1,2,0,0,1,0
01, 1,3,1,0,0,25
01, 2,362,4,1,1,3
01, 2,3,45,0,0,0
01, 2,0,1,4,0,0
01, 2,2,0,0,1,1
01, 2,2,1,0,0,26
01, 3,361,5,0,1,4
01, 3,1,45,2,0,0
01, 3,0,1,4,0,0
01, 3,3,0,0,0,1
01, 3,1,0,0,0,28
01, 4,362,2,1,2,4
01, 4,2,46,0,0,0
01, 4,0,1,4,0,0
01, 4,2,0,0,2,0
01, 4,1,0,0,0,28
01, 5,364,3,1,0,3
01, 5,1,46,1,0,0
01, 5,1,1,3,0,0
01, 5,1,1,0,2,0
01, 5,2,0,0,0,27
01, 6,366,3,0,1,1
01, 6,3,44,1,0,0
01, 6,0,0,5,0,0
01, 6,2,0,0,2,0
01, 6,3,0,0,0,26
01, 7,364,2,0,1,3
01, 7,2,47,0,0,0
01, 7,2,0,3,0,0
01, 7,2,0,0,1,0
01, 7,4,0,0,0,26
01, 8,360,7,0,3,0
01, 8,3,46,0,0,0
01, 8,0,2,3,0,0
01, 8,1,0,0,2,0
01, 8,4,0,0,0,26
01, 9,357,5,0,6,2
01, 9,3,45,1,0,0
01, 9,1,1,3,0,0
01, 9,2,0,1,0,0
01, 9,0,0,0,0,30
01, 10,363,4,0,0,3
01, 10,6,43,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,1,0,0,0,29
02, 1,363,2,1,2,3
02, 1,0,48,1,0,0
02, 1,1,0,4,0,0
02, 1,0,0,0,3,0
02, 1,6,0,0,0,23
02, 2,361,2,1,4,3
02, 2,4,44,0,0,0
02, 2,0,1,4,0,0
02, 2,3,0,0,1,0
02, 2,1,0,0,0,28
02, 3,370,1,0,0,0
02, 3,0,48,0,0,0
02, 3,1,1,2,1,0
02, 3,3,0,0,1,0
02, 3,1,0,0,0,28
02, 4,370,0,0,0,1
02, 4,2,46,0,0,0
02, 4,1,1,3,0,0
02, 4,2,0,1,1,0
02, 4,2,0,0,0,27
02, 5,361,4,0,0,6
02, 5,1,47,0,0,0
02, 5,0,0,5,0,0
02, 5,4,0,0,0,0
02, 5,2,1,0,0,26
02, 6,362,4,0,5,0
02, 6,5,43,0,0,0
02, 6,1,1,3,0,0
02, 6,1,0,0,3,0
02, 6,4,0,0,0,25
02, 7,358,6,1,2,3
02, 7,2,47,0,0,0
02, 7,0,2,3,0,0
02, 7,2,0,0,1,0
02, 7,1,0,0,0,29
02, 8,358,8,0,2,2
02, 8,1,48,0,0,0
02, 8,0,1,4,0,0
02, 8,2,0,0,1,0
02, 8,4,0,0,0,26
02, 9,358,3,1,5,3
02, 9,4,43,2,0,0
02, 9,0,0,5,0,0
02, 9,2,0,0,1,0
02, 9,3,0,0,0,27
02, 10,367,2,0,0,1
02, 10,1,48,0,0,0
02, 10,1,1,3,0,0
02, 10,1,1,0,0,1
02, 10,0,0,1,0,29
03, 1,366,5,0,0,0
03, 1,3,45,1,0,0
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,5,0,0,0,24
03, 2,359,3,0,3,6
03, 2,1,46,1,0,0
03, 2,0,1,3,1,0
03, 2,4,0,0,0,0
03, 2,2,0,0,0,27
03, 3,366,2,0,1,2
03, 3,8,40,0,0,0
03, 3,0,0,5,0,0
03, 3,4,0,0,0,0
03, 3,7,0,0,0,22
03, 4,366,5,0,0,0
03, 4,4,44,0,0,0
03, 4,0,0,5,0,0
03, 4,3,0,0,1,0
03, 4,5,0,0,0,24
03, 5,362,4,0,4,1
03, 5,4,43,1,0,0
03, 5,1,1,3,0,0
03, 5,3,0,0,1,0
03, 5,2,1,0,0,26
03, 6,362,4,2,2,1
03, 6,3,45,0,0,0
03, 6,0,0,5,0,0
03, 6,2,0,0,2,0
03, 6,3,0,0,0,26
03, 7,359,3,0,6,2
03, 7,5,44,0,0,0
03, 7,1,1,3,0,0
03, 7,1,0,0,2,0
03, 7,4,0,0,0,26
03, 8,359,4,0,1,6
03, 8,1,47,1,0,0
03, 8,0,1,4,0,0
03, 8,2,0,0,1,0
03, 8,2,0,0,0,28
03, 9,362,3,0,1,4
03, 9,2,47,0,0,0
03, 9,1,0,4,0,0
03, 9,3,0,0,0,0
03, 9,0,1,0,0,29
03, 10,363,3,0,3,1
03, 10,3,44,2,0,0
03, 10,1,0,4,0,0
03, 10,0,1,0,1,1
03, 10,1,0,0,0,29
04, 1,367,2,1,0,1
04, 1,2,47,0,0,0
04, 1,0,0,5,0,0
04, 1,3,0,0,0,0
04, 1,3,0,0,0,26
04, 2,361,6,0,4,0
04, 2,2,46,0,0,0
04, 2,0,1,4,0,0
04, 2,2,0,0,2,0
04, 2,1,0,0,0,28
04, 3,363,4,1,2,1
04, 3,3,45,0,0,0
04, 3,0,2,3,0,0
04, 3,2,0,0,2,0
04, 3,3,0,0,0,26
04, 4,363,3,0,2,3
04, 4,0,48,0,0,0
04, 4,1,1,3,0,0
04, 4,3,0,0,1,0
04, 4,2,1,0,0,26
04, 5,364,1,0,4,2
04, 5,2,45,1,0,0
04, 5,1,0,4,0,0
04, 5,2,1,0,1,0
04, 5,1,0,0,0,28
04, 6,364,3,1,2,1
04, 6,7,41,0,0,0
04, 6,1,0,4,0,0
04, 6,2,0,0,2,0
04, 6,3,0,0,0,26
04, 7,366,1,0,1,2
04, 7,2,46,0,0,1
04, 7,0,2,3,0,0
04, 7,3,0,0,0,0
04, 7,1,0,0,0,29
04, 8,361,3,0,3,3
04, 8,3,46,0,0,0
04, 8,0,1,3,1,0
04, 8,2,0,0,1,0
04, 8,4,0,0,0,26
04, 9,359,4,0,3,4
04, 9,3,45,1,0,0
04, 9,1,0,4,0,0
04, 9,1,0,1,1,0
04, 9,3,0,1,0,26
04, 10,365,4,1,0,0
04, 10,1,46,2,0,0
04, 10,0,1,4,0,0
04, 10,2,0,0,1,0
04, 10,0,0,0,0,30
05, 1,364,3,0,3,1
05, 1,3,46,0,0,0
05, 1,0,0,5,0,0
05, 1,2,0,0,1,0
05, 1,5,0,0,0,24
05, 2,364,3,1,0,3
05, 2,1,45,2,0,0
05, 2,0,1,4,0,0
05, 2,3,0,0,1,0
05, 2,3,0,0,0,26
05, 3,365,3,1,1,1
05, 3,2,45,1,0,0
05, 3,0,0,5,0,0
05, 3,3,0,0,1,0
05, 3,6,1,0,0,22
05, 4,360,7,1,0,3
05, 4,3,45,0,0,0
05, 4,1,0,4,0,0
05, 4,0,0,0,4,0
05, 4,1,0,0,0,28
05, 5,363,0,1,3,4
05, 5,0,46,2,0,0
05, 5,1,0,4,0,0
05, 5,3,0,0,1,0
05, 5,3,0,0,0,26
05, 6,364,4,0,2,1
05, 6,5,43,0,0,0
05, 6,0,1,4,0,0
05, 6,3,0,0,1,0
05, 6,1,0,0,0,28
05, 7,361,3,0,3,3
05, 7,3,46,0,0,0
05, 7,3,0,2,0,0
05, 7,0,0,1,2,0
05, 7,3,0,0,0,27
05, 8,360,4,0,4,2
05, 8,2,47,0,0,0
05, 8,0,0,5,0,0
05, 8,1,0,0,2,0
05, 8,3,0,0,0,27
05, 9,361,5,1,1,2
05, 9,3,46,0,0,0
05, 9,0,1,3,1,0
05, 9,3,0,0,0,0
05, 9,0,0,0,0,30
05, 10,365,2,0,2,1
05, 10,4,44,1,0,0
05, 10,0,1,4,0,0
05, 10,2,0,0,1,0
05, 10,1,0,0,0,29
06, 1,362,4,0,3,2
06, 1,1,48,0,0,0
06, 1,0,2,3,0,0
06, 1,3,0,0,0,0
06, 1,2,0,0,0,27
06, 2,362,6,0,2,1
06, 2,3,44,1,0,0
06, 2,0,1,4,0,0
06, 2,2,0,0,2,0
06, 2,0,0,0,0,29
06, 3,364,2,1,2,2
06, 3,8,40,0,0,0
06, 3,0,2,3,0,0
06, 3,3,0,1,0,0
06, 3,1,0,0,0,28
06, 4,366,2,1,1,1
06, 4,0,48,0,0,0
06, 4,2,1,2,0,0
06, 4,2,0,0,2,0
06, 4,2,0,0,0,27
06, 5,361,6,0,4,0
06, 5,5,43,0,0,0
06, 5,0,1,4,0,0
06, 5,1,0,0,3,0
06, 5,0,1,0,0,28
06, 6,368,1,0,1,1
06, 6,4,43,1,0,0
06, 6,1,0,4,0,0
06, 6,2,1,0,1,0
06, 6,3,1,0,0,25
06, 7,361,1,2,2,4
06, 7,5,43,1,0,0
06, 7,0,1,3,1,0
06, 7,2,0,0,1,0
06, 7,1,0,0,0,29
06, 8,367,3,0,0,0
06, 8,2,45,2,0,0
06, 8,1,0,4,0,0
06, 8,3,0,0,0,0
06, 8,1,0,0,0,29
06, 9,355,6,0,3,6
06, 9,0,49,0,0,0
06, 9,1,0,4,0,0
06, 9,2,0,0,1,0
06, 9,2,0,0,0,28
06, 10,365,1,0,2,2
06, 10,0,49,0,0,0
06, 10,0,1,4,0,0
06, 10,3,0,0,0,0
06, 10,4,0,0,0,26
07, 1,359,7,0,4,1
07, 1,3,45,1,0,0
07, 1,0,1,4,0,0
07, 1,2,0,0,1,0
07, 1,2,0,0,0,27
07, 2,367,3,0,1,0
07, 2,4,43,1,0,0
07, 2,2,2,1,0,0
07, 2,4,0,0,0,0
07, 2,3,0,0,0,26
07, 3,359,5,0,3,4
07, 3,3,45,0,0,0
07, 3,0,2,3,0,0
07, 3,2,1,0,1,0
07, 3,2,0,0,0,27
07, 4,363,5,1,0,2
07, 4,4,44,0,0,0
07, 4,0,0,5,0,0
07, 4,4,0,0,0,0
07, 4,2,0,0,0,27
07, 5,364,2,2,2,1
07, 5,2,46,0,0,0
07, 5,0,2,3,0,0
07, 5,3,0,0,1,0
07, 5,3,0,1,0,25
07, 6,364,3,0,0,4
07, 6,3,45,0,0,0
07, 6,1,1,3,0,0
07, 6,3,0,0,1,0
07, 6,2,0,0,0,27
07, 7,366,2,0,2,0
07, 7,5,44,0,0,0
07, 7,1,0,4,0,0
07, 7,2,0,0,1,0
07, 7,2,0,0,0,28
07, 8,362,1,0,4,3
07, 8,8,39,2,0,0
07, 8,0,0,5,0,0
07, 8,1,0,0,2,0
07, 8,3,0,0,0,27
07, 9,363,4,0,1,2
07, 9,3,46,0,0,0
07, 9,2,0,3,0,0
07, 9,1,0,1,1,0
07, 9,5,0,0,0,25
07, 10,357,5,1,3,4
07, 10,1,47,1,0,0
07, 10,0,0,4,1,0
07, 10,2,0,0,1,0
07, 10,0,1,0,0,29
08, 1,363,2,0,3,3
08, 1,1,47,1,0,0
08, 1,0,1,4,0,0
08, 1,2,0,0,1,0
08, 1,2,0,0,0,27
08, 2,359,4,0,3,5
08, 2,2,45,1,0,0
08, 2,1,2,2,0,0
08, 2,3,0,0,1,0
08, 2,1,0,0,0,28
08, 3,362,4,0,1,4
08, 3,1,45,2,0,0
08, 3,1,0,4,0,0
08, 3,2,0,0,2,0
08, 3,5,1,0,0,23
08, 4,363,3,0,1,4
08, 4,5,42,0,0,1
08, 4,0,1,4,0,0
08, 4,3,0,0,1,0
08, 4,2,0,0,0,27
08, 5,359,3,2,3,4
08, 5,2,46,0,0,0
08, 5,0,0,5,0,0
08, 5,3,0,0,1,0
08, 5,4,0,0,0,25
08, 6,364,4,0,2,1
08, 6,5,43,0,0,0
08, 6,1,0,4,0,0
08, 6,2,0,1,1,0
08, 6,1,0,0,0,28
08, 7,359,6,1,3,1
08, 7,3,45,1,0,0
08, 7,0,0,5,0,0
08, 7,2,0,0,1,0
08, 7,5,0,0,0,25
08, 8,359,4,1,4,2
08, 8,1,48,0,0,0
08, 8,0,3,2,0,0
08, 8,1,0,0,2,0
08, 8,1,0,0,0,29
08, 9,366,2,0,1,1
08, 9,2,47,0,0,0
08, 9,1,0,4,0,0
08, 9,2,0,0,1,0
08, 9,3,0,0,0,27
08, 10,367,3,0,0,0
08, 10,2,47,0,0,0
08, 10,1,2,2,0,0
08, 10,3,0,0,0,0
08, 10,2,0,0,0,28
09, 1,358,5,1,2,5
09, 1,5,44,0,0,0
09, 1,0,2,3,0,0
09, 1,2,0,0,1,0
09, 1,2,0,0,0,27
09, 2,366,2,1,1,1
09, 2,3,44,1,0,0
09, 2,0,0,5,0,0
09, 2,1,0,0,3,0
09, 2,2,0,0,0,27
09, 3,365,1,0,2,3
09, 3,2,45,1,0,0
09, 3,1,2,2,0,0
09, 3,2,0,0,1,1
09, 3,4,0,0,0,25
09, 4,360,2,0,5,4
09, 4,3,44,1,0,0
09, 4,0,1,4,0,0
09, 4,3,1,0,0,0
09, 4,2,0,0,0,27
09, 5,365,3,0,3,0
09, 5,1,47,0,0,0
09, 5,1,0,4,0,0
09, 5,2,0,0,2,0
09, 5,2,1,0,0,26
09, 6,362,5,0,3,1
09, 6,2,46,0,0,0
09, 6,0,0,4,1,0
09, 6,3,0,0,1,0
09, 6,1,0,0,0,28
09, 7,363,2,0,0,5
09, 7,1,48,0,0,0
09, 7,0,0,5,0,0
09, 7,1,0,0,2,0
09, 7,0,0,0,0,30
09, 8,361,5,0,0,4
09, 8,3,45,1,0,0
09, 8,0,0,5,0,0
09, 8,2,0,0,1,0
09, 8,1,0,0,0,29
09, 9,361,4,2,1,2
09, 9,1,48,0,0,0
09, 9,2,1,2,0,0
09, 9,2,0,1,0,0
09, 9,1,0,0,0,29
09, 10,360,4,0,2,4
09, 10,1,48,0,0,0
09, 10,0,1,4,0,0
09, 10,2,0,0,1,0
09, 10,2,0,0,0,28
10, 1,364,2,1,4,0
10, 1,2,47,0,0,0
10, 1,0,2,3,0,0
10, 1,3,0,0,0,0
10, 1,3,0,0,0,26
10, 2,365,2,0,1,3
10, 2,1,46,1,0,0
10, 2,0,0,5,0,0
10, 2,3,0,0,1,0
10, 2,1,1,0,0,27
10, 3,360,5,1,4,1
10, 3,3,45,0,0,0
10, 3,2,2,1,0,0
10, 3,2,0,0,2,0
10, 3,2,1,0,0,26
10, 4,366,2,0,1,2
10, 4,1,47,0,0,0
10, 4,0,0,4,1,0
10, 4,3,0,0,1,0
10, 4,3,0,0,0,26
10, 5,367,1,0,0,3
10, 5,1,44,3,0,0
10, 5,1,2,2,0,0
10, 5,2,0,0,2,0
10, 5,2,0,0,0,27
10, 6,358,6,0,5,2
10, 6,0,46,2,0,0
10, 6,0,0,5,0,0
10, 6,4,0,0,0,0
10, 6,1,0,0,0,28
10, 7,359,4,0,3,4
10, 7,2,46,1,0,0
10, 7,1,0,4,0,0
10, 7,1,0,0,2,0
10, 7,2,0,0,0,28
10, 8,361,3,0,4,2
10, 8,5,43,1,0,0
10, 8,1,0,4,0,0
10, 8,1,0,1,1,0
10, 8,4,0,0,0,26
10, 9,362,4,0,4,0
10, 9,4,45,0,0,0
10, 9,0,0,5,0,0
10, 9,1,0,0,2,0
10, 9,3,0,0,0,27
10, 10,361,4,0,1,4
10, 10,3,46,0,0,0
10, 10,1,2,2,0,0
10, 10,1,1,0,1,0
10, 10,2,0,0,0,28
