 0.694283;  0.721800;  0.699601;  0.765231;  0.881318;  0.814291;  0.790761;  0.820848;  0.663357;  0.808614; 
 0.840127;  0.736139;  0.744382;  0.793984;  0.719486;  0.746460;  0.791496;  0.796389;  0.700497;  0.683941; 
 0.843076;  0.651846;  0.760919;  0.757675;  0.740117;  0.805173;  0.777505;  0.729562;  0.729954;  0.687131; 
 0.720265;  0.793794;  0.746054;  0.737655;  0.695772;  0.755525;  0.740340;  0.758073;  0.679487;  0.783030; 
 0.748373;  0.790251;  0.769971;  0.873445;  0.674762;  0.827188;  0.721026;  0.823489;  0.666715;  0.759809; 
 0.710479;  0.841701;  0.584348;  0.757068;  0.735684;  0.742932;  0.683005;  0.723255;  0.754340;  0.749837; 
 0.836906;  0.654077;  0.766869;  0.838765;  0.747519;  0.753410;  0.757394;  0.801449;  0.727881;  0.706429; 
 0.771312;  0.732469;  0.749435;  0.794922;  0.781830;  0.805772;  0.669814;  0.715965;  0.804448;  0.716007; 
 0.743868;  0.891804;  0.674975;  0.723295;  0.838442;  0.687677;  0.857045;  0.826055;  0.620440;  0.793487; 
 0.662326;  0.758554;  0.693381;  0.761337;  0.794422;  0.657326;  0.818101;  0.711417;  0.846877;  0.678875; 
