 0.827465;  0.838197;  0.825450;  0.807758;  0.853136;  0.895654;  0.814204;  0.858911;  0.714810;  0.816855; 
 0.895127;  0.860811;  0.825324;  0.826394;  0.781645;  0.849965;  0.786080;  0.794900;  0.771028;  0.726438; 
 0.820851;  0.691022;  0.879851;  0.846753;  0.811844;  0.878114;  0.813076;  0.810294;  0.749657;  0.706491; 
 0.771528;  0.828760;  0.903458;  0.750401;  0.842203;  0.833299;  0.837530;  0.813861;  0.714039;  0.774708; 
 0.796766;  0.861062;  0.852084;  0.803651;  0.831923;  0.825691;  0.730373;  0.931405;  0.717614;  0.815150; 
 0.803797;  0.834947;  0.709798;  0.857626;  0.883468;  0.791235;  0.781505;  0.819561;  0.875767;  0.880721; 
 0.893865;  0.744484;  0.748047;  0.873201;  0.860193;  0.786482;  0.897901;  0.796206;  0.850933;  0.731568; 
 0.848998;  0.838179;  0.817212;  0.877315;  0.850513;  0.860172;  0.821504;  0.825413;  0.818940;  0.808952; 
 0.836774;  0.883616;  0.752847;  0.861246;  0.852164;  0.821535;  0.903756;  0.767408;  0.747599;  0.869560; 
 0.811062;  0.823971;  0.804775;  0.816036;  0.827998;  0.693402;  0.834831;  0.751897;  0.878249;  0.721928; 
